"<b><a href=""https://en.wikipedia.org/wiki/aerodrome"" title=""aerodrome"">aerodrome</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An airfield used for managed aircraft operation. In Britain, an alternative term for airport."
"<b><a href=""https://en.wikipedia.org/wiki/aerodyne"" title=""aerodyne"">aerodyne</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A heavier-than-air craft, deriving its lift from motion."
"<b><a href=""https://en.wikipedia.org/wiki/aeronaut"" title=""aeronaut"">aeronaut</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Pilot or crew of lighter-than-air craft."
"<b><a href=""https://en.wikipedia.org/wiki/aeroplane"" title=""aeroplane"">aeroplane</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A power-driven heavier-than-air craft that derives support in the atmosphere from the reactions of the air on its surfaces that remain fixed under given conditions of flight.(Also <i>airplane</i>)"
"<b><a href=""https://en.wikipedia.org/wiki/aerostat"" title=""aerostat"">aerostat</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A lighter-than-air craft, such as a <a href=""https://en.wikipedia.org/wiki/balloon"" title=""balloon"">balloon</a> or <a href=""https://en.wikipedia.org/wiki/airship"" title=""airship"">airship</a>. Its lift is caused by buoyancy relative to the surrounding air."
"<b><a href=""https://en.wikipedia.org/wiki/aileron"" title=""aileron"">ailerons</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"On an <a href=""https://en.wikipedia.org/wiki/aircraft"" title=""aircraft"">aircraft</a>, the ailerons are a <a href=""#C"">control surface</a> usually on the trailing edge of the <a href=""#W"">wings</a>. The ailerons are used to control <a href=""#R"">roll</a> by generating asymmetric wing lift.  The ailerons are on the outside of the wings and operate oppositely (If one goes up, the other goes down)."
"<b><a href=""https://en.wikipedia.org/wiki/air_base"" title=""air base"">air base</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A military airport."
"<b><a href=""https://en.wikipedia.org/wiki/aircraft"" title=""aircraft"">aircraft</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A vehicle that can travel through the air."
"<b><a href=""https://en.wikipedia.org/wiki/air_force"" title=""air force"">air force</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Branch of a country's military devoted to air warfare."
"<b><a href=""https://en.wikipedia.org/wiki/airman"" title=""airman"">airman</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Pilot or crew member of an aircraft. The term is usually applied to the members of an air force."
"<b><a href=""https://en.wikipedia.org/wiki/airplane"" title=""airplane"">airplane</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A powered aircraft that derives its lift from the movement of air over fixed lifting surfaces. (Also <i><a href=""https://en.wikipedia.org/wiki/aeroplane"" title=""aeroplane"">aeroplane</a></i>)"
"<b><a href=""https://en.wikipedia.org/wiki/airport"" title=""airport"">airport</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"An area designated for the takeoff and landing of aircraft."
"<b><a href=""https://en.wikipedia.org/wiki/airship"" title=""airship"">airship</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A lighter-than-air craft that can be steered and propelled through the air.  (Also dirigible)"
"<b><a href=""https://en.wikipedia.org/wiki/airstair"" title=""airstair"">airstair</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A set of <a href=""https://en.wikipedia.org/wiki/steps"" title=""steps"">steps</a> used by passengers and crew to embark and disembark from a commercial aircraft."
"<b><a href=""https://en.wikipedia.org/wiki/apron"" title=""apron"">apron</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The paved area at an airport."
"<b><a href=""https://en.wikipedia.org/wiki/attitude"" title=""attitude"">attitude</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"The <a href=""https://en.wikipedia.org/wiki/orientation"" title=""orientation"">orientation</a> of an <a href=""https://en.wikipedia.org/wiki/aircraft"" title=""aircraft"">aircraft</a> with respect to the <a href=""https://en.wikipedia.org/wiki/horizon"" title=""horizon"">horizon</a>."
"<b><a href=""https://en.wikipedia.org/wiki/autogyro"" title=""autogyro"">autogyro</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"A rotor-craft with unpowered blades that develop lift, and an engine-powered propeller to provide thrust."
"<b><a href=""https://en.wikipedia.org/wiki/aviator"" title=""aviator"">aviator</a></b> (Wikipedia Glossary of Aviation Aerospace and Aeronautics)"|"Pilot or crew member of an aircraft."
